,Nome,Sobrenome,Nacionalidade,Posição,Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assistências,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
1,Max,Aarons,ENG,ZG,Bournemouth,Premier League,23,2000,12,11,950.0,10.6,0,1,1,0,0,0,1,1,0.0,0.0,0.8,"0,8",16.0,31.0,19.0,"0,00","0,09","0,09","0,00","0,09","0,00","0,08","0,08","0,00","0,08"
2,Brenden,Aaronson, USA,LT,Union Berlin, Bundesliga,23,2000,11,4,327.0,3.6,0,0,0,0,0,0,2,2,0.1,0.1,0.3,"0,4",4.0,9.0,18.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,07","0,11","0,04","0,11"
3,Paxten,Aaronson, USA,LT,Eint Frankfurt, Bundesliga,20,2003,7,1,101.0,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,"0,2",2.0,5.0,7.0,"0,00","0,89","0,89","0,00","0,89","0,11","0,07","0,19","0,11","0,19"
4,Yunis,Abdelhamid, MAR,ZG,Reims, Ligue 1,36,1987,16,16,144.0,16.0,3,0,3,3,0,0,3,3,2.2,2.2,0.2,"2,4",23.0,74.0,4.0,"0,19","0,00","0,19","0,19","0,19","0,14","0,01","0,15","0,14","0,15"
5,Salis,Abdul Samed, GHA,LT,Lens, Ligue 1,23,2000,17,14,1249.0000000000002,13.9,0,0,0,0,0,0,2,2,0.8,0.8,0.5,"1,3",7.0,69.0,17.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,04","0,10","0,06","0,10"
6,Laurent,Abergel, FRA,LT,Lorient, Ligue 1,30,1993,17,17,153.0,17.0,1,1,2,1,0,0,1,1,0.5,0.5,0.9,"1,4",14.0,84.0,30.0,"0,06","0,06","0,12","0,06","0,12","0,03","0,05","0,08","0,03","0,08"
7,Matthis,Abline, FRA,AT,Nantes, Ligue 1,20,2003,10,5,420.0,4.7,1,0,1,1,0,0,0,0,0.8,0.8,1.5,"2,2",6.0,6.0,39.0,"0,21","0,00","0,21","0,21","0,21","0,17","0,31","0,48","0,17","0,48"
8,Zakaria,Aboukhlal, MAR,"LT,AT",Toulouse, Ligue 1,23,2000,5,4,376.0,4.2,3,0,3,2,1,1,0,0,2.2,1.4,0.2,"1,6",12.0,12.0,35.0,"0,72","0,00","0,72","0,48","0,48","0,52","0,04","0,56","0,33","0,37"
9,Abdel,Abqar, MAR,ZG,Alavés, La Liga,24,1999,14,14,1254.0,13.9,0,0,0,0,0,0,5,5,0.3,0.3,0.0,"0,3",2.0,29.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
10,Francesco,Acerbi, ITA,ZG,Inter, Serie A,35,1988,14,14,126.0,14.0,1,1,2,1,0,0,1,1,0.9,0.9,1.7,"2,6",10.0,39.0,15.0,"0,07","0,07","0,14","0,07","0,14","0,06","0,12","0,18","0,06","0,18"
11,Marcos,Acuña, ARG,ZG,Sevilla, La Liga,32,1991,8,7,456.0,5.1,0,0,0,0,0,0,2,2,0.1,0.1,0.3,"0,4",13.0,24.0,17.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,06","0,08","0,02","0,08"
12,Bénie,Adama Traore, CIV,"AT,LT",Sheffield Utd,Premier League,21,2002,8,3,387.0,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,"0,8",7.0,9.0,14.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,13","0,19","0,06","0,19"
13,Akor,Adams, NGA,AT,Montpellier, Ligue 1,23,2000,17,17,1377.0,15.3,7,0,7,7,0,0,2,2,8.7,8.7,0.8,"9,5",27.0,13.0,83.0,"0,46","0,00","0,46","0,46","0,46","0,57","0,05","0,62","0,57","0,62"
14,Junior,Adamu, AUT,"AT,LT",Freiburg, Bundesliga,22,2001,12,0,95.0,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,"0,2",1.0,1.0,5.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,11","0,17","0,06","0,17"
15,Sargis,Adamyan, ARM,"AT,LT",Köln, Bundesliga,30,1993,5,0,142.0,1.6,0,1,1,0,0,0,1,1,0.9,0.9,0.5,"1,5",4.0,5.0,19.0,"0,00","0,63","0,63","0,00","0,63","0,59","0,34","0,93","0,59","0,93"
16,Tosin,Adarabioyo,ENG,ZG,Fulham,Premier League,26,1997,6,4,363.0,4.0,1,0,1,1,0,0,0,0,0.0,0.0,0.1,"0,1",3.0,19.0,1.0,"0,25","0,00","0,25","0,25","0,25","0,01","0,02","0,02","0,01","0,02"
17,Elijah,Adebayo,ENG,AT,Luton Town,Premier League,25,1998,17,7,665.0,7.4,4,0,4,4,0,0,1,1,2.4,2.4,0.4,"2,8",5.0,12.0,43.0,"0,54","0,00","0,54","0,54","0,54","0,33","0,05","0,38","0,33","0,38"
18,Karim,Adeyemi, GER,"AT,LT",Dortmund, Bundesliga,21,2002,11,3,370.0,4.1,0,1,1,0,0,0,2,2,0.8,0.8,0.9,"1,7",19.0,13.0,39.0,"0,00","0,24","0,24","0,00","0,24","0,20","0,21","0,40","0,20","0,40"
19,Simon,Adingra, CIV,"AT,LT",Brighton,Premier League,21,2002,17,13,1142.0,12.7,4,1,5,4,0,0,2,2,2.4,2.4,2.1,"4,5",53.0,22.0,132.0,"0,32","0,08","0,39","0,32","0,39","0,19","0,17","0,35","0,19","0,35"
20,Amine,Adli, MAR,"LT,ZG",Leverkusen, Bundesliga,23,2000,11,2,265.0,2.9,1,3,4,1,0,0,1,1,0.5,0.5,0.6,"1,2",15.0,15.0,45.0,"0,34","1,02","1,36","0,34","1,36","0,18","0,22","0,39","0,18","0,39"
21,Yacine,Adli, FRA,LT,Milan, Serie A,23,2000,7,4,325.0,3.6,0,0,0,0,0,0,1,1,0.0,0.0,0.1,"0,1",6.0,33.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,03","0,04","0,01","0,04"
22,Michel,Aebischer, SUI,LT,Bologna, Serie A,26,1997,17,13,1099.0,12.2,0,1,1,0,0,0,4,4,0.1,0.1,0.8,"0,9",14.0,63.0,9.0,"0,00","0,08","0,08","0,00","0,08","0,01","0,07","0,08","0,01","0,08"
23,Emmanuel,Agbadou, CIV,ZG,Reims, Ligue 1,26,1997,15,13,1137.9999999999998,12.6,0,0,0,0,0,0,1,1,0.8,0.8,0.1,"0,8",21.0,81.0,10.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,01","0,07","0,06","0,07"
24,Lucien,Agoume, FRA,LT,Inter, Serie A,21,2002,1,0,5.0,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
25,Felix,Agu, GER,"LT,ZG",Werder Bremen, Bundesliga,24,1999,6,2,196.0,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,"0,2",5.0,8.0,8.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,03","0,08","0,06","0,08"
26,Nayef,Aguerd, MAR,ZG,West Ham,Premier League,27,1996,16,16,1416.0,15.7,1,0,1,1,0,0,3,3,1.3,1.3,0.2,"1,6",7.0,44.0,0.0,"0,06","0,00","0,06","0,06","0,06","0,08","0,01","0,10","0,08","0,10"
27,Ruben,Aguilar, FRA,ZG,Lens, Ligue 1,30,1993,12,12,1039.0,11.5,0,3,3,0,0,0,0,0,0.6,0.6,2.5,"3,0",24.0,70.0,109.0,"0,00","0,26","0,26","0,00","0,26","0,05","0,22","0,26","0,05","0,26"
28,Naouirou,Ahamada, FRA,"LT,AT",Crystal Palace,Premier League,21,2002,10,0,132.0,1.5,0,0,0,0,0,0,1,1,0.2,0.2,0.0,"0,2",9.0,9.0,15.0,"0,00","0,00","0,00","0,00","0,00","0,13","0,02","0,15","0,13","0,15"
29,Anel,Ahmedhodžić, BIH,ZG,Sheffield Utd,Premier League,24,1999,13,12,1125.0,12.5,0,0,0,0,0,0,4,4,0.9,0.9,0.0,"0,9",3.0,14.0,14.0,"0,00","0,00","0,00","0,00","0,00","0,07","0,00","0,07","0,07","0,07"
